Date,Open,High,Low,Close,Adj Close,Volume
2016-12-07,230.399994,236.089996,230.399994,235.559998,220.742554,6595200
2016-12-08,236.880005,242.419998,236.000000,241.449997,226.262039,7343700
2016-12-09,240.610001,242.000000,238.880005,241.850006,226.636902,5456000
2016-12-12,240.500000,242.830002,236.369995,237.169998,222.251266,5022000
2016-12-13,239.000000,240.179993,235.509995,238.550003,223.544495,4680500
2016-12-14,235.669998,243.119995,235.369995,239.929993,224.837692,6172400
2016-12-15,242.490005,245.570007,241.619995,243.000000,227.714569,4829700
2016-12-16,242.800003,243.190002,238.399994,238.899994,223.872437,6876400
2016-12-19,238.339996,239.740005,236.259995,239.070007,224.031754,3743300
2016-12-20,240.520004,243.649994,240.229996,243.089996,227.798874,4487700
2016-12-21,242.240005,242.399994,240.080002,241.440002,226.252686,3277800
2016-12-22,241.229996,242.860001,239.550003,240.119995,225.015717,2636500
2016-12-23,239.539993,241.899994,238.910004,240.970001,225.812210,2187500
2016-12-27,241.949997,242.589996,240.399994,241.559998,226.365143,1998200
2016-12-28,243.690002,244.500000,240.440002,240.649994,225.512405,3053000
2016-12-29,240.750000,241.070007,236.639999,238.179993,223.197769,2619000
2016-12-30,238.509995,240.500000,237.399994,239.449997,224.387894,2355500
2017-01-03,242.699997,244.970001,237.970001,241.570007,226.374527,4384200
2017-01-04,241.440002,243.320007,240.029999,243.130005,227.836365,2728700
2017-01-05,242.720001,243.229996,236.779999,241.320007,226.140228,3562600
2017-01-06,242.289993,246.199997,241.369995,244.899994,229.495026,3591100
2017-01-09,243.250000,244.690002,241.470001,242.889999,227.611450,3022800
2017-01-10,240.869995,243.440002,239.050003,242.570007,227.311615,3432900
2017-01-11,242.770004,245.839996,242.000000,245.759995,230.300949,3532600
2017-01-12,245.059998,245.470001,241.570007,243.839996,228.501694,4022300
2017-01-13,245.429993,247.770004,242.910004,244.300003,228.932755,4186100
2017-01-17,242.940002,243.059998,235.610001,235.740005,220.911209,6277200
2017-01-18,236.000000,237.690002,231.520004,234.289993,219.552444,7590500
2017-01-19,234.070007,234.750000,230.619995,231.410004,216.853607,4561800
2017-01-20,231.619995,233.229996,230.539993,232.199997,217.593903,5211800
2017-01-23,231.860001,233.750000,230.750000,232.669998,218.034348,3136200
2017-01-24,231.860001,236.059998,230.839996,233.679993,218.980789,4448200
2017-01-25,235.529999,237.330002,234.490005,237.250000,222.326233,3716800
2017-01-26,237.470001,240.789993,237.470001,239.580002,224.509674,4195600
2017-01-27,236.899994,237.970001,236.009995,236.949997,222.045105,3253100
2017-01-30,235.580002,236.289993,231.520004,233.899994,219.186951,3803300
2017-01-31,232.850006,234.350006,228.160004,229.320007,214.895050,5156400
2017-02-01,230.509995,232.860001,229.520004,230.669998,216.160141,4024500
2017-02-02,228.509995,232.330002,227.050003,230.410004,215.916504,2775700
2017-02-03,234.520004,241.110001,234.199997,240.949997,225.793503,7381000
2017-02-06,239.600006,243.649994,239.169998,239.979996,224.884506,4639200
2017-02-07,241.149994,241.440002,239.389999,239.619995,224.547195,2660200
2017-02-08,238.300003,238.940002,236.309998,237.729996,222.776031,2744700
2017-02-09,237.729996,243.289993,237.419998,241.550003,226.355759,3550800
2017-02-10,243.369995,244.160004,241.229996,242.720001,227.452164,3072800
2017-02-13,244.490005,247.479996,244.490005,246.270004,230.778854,2998200
2017-02-14,246.009995,250.000000,245.690002,249.460007,233.768204,4141500
2017-02-15,250.580002,251.949997,248.509995,250.539993,234.780273,4296600
2017-02-16,250.300003,250.779999,248.440002,249.440002,233.749435,2286300
2017-02-17,247.509995,250.559998,247.110001,250.380005,234.630356,3262300
2017-02-21,251.000000,252.649994,250.710007,251.759995,235.923523,2794900
2017-02-22,250.059998,252.350006,250.000000,251.729996,235.895416,2378800
2017-02-23,251.309998,251.899994,249.320007,251.190002,235.389374,2594700
2017-02-24,247.699997,248.880005,246.100006,247.350006,231.790939,3565400
2017-02-27,247.210007,249.759995,246.610001,249.330002,233.646378,2372600
2017-02-28,248.000000,249.000000,245.610001,248.059998,233.063858,3627100
2017-03-01,253.710007,255.149994,251.259995,252.710007,237.432770,5218300
2017-03-02,253.520004,254.240005,250.970001,251.059998,235.882492,3020000
2017-03-03,251.059998,254.750000,251.059998,252.889999,237.601852,3163700
2017-03-06,252.169998,252.729996,250.500000,252.009995,236.775070,2467000
2017-03-07,252.490005,253.000000,250.309998,250.899994,235.732178,2497300
2017-03-08,253.619995,254.770004,249.610001,250.240005,235.112091,3574400
2017-03-09,251.220001,252.740005,249.520004,250.179993,235.055695,3061500
2017-03-10,251.839996,251.899994,246.869995,248.380005,233.364563,3365900
2017-03-13,249.320007,249.320007,247.210007,248.160004,233.157822,1801100
2017-03-14,246.809998,247.830002,245.410004,247.720001,232.744400,2144200
2017-03-15,248.350006,250.279999,245.559998,246.779999,231.861252,3427000
2017-03-16,247.850006,250.199997,247.309998,248.220001,233.214188,2940600
2017-03-17,249.679993,249.679993,243.860001,243.940002,229.192917,5438100
2017-03-20,243.320007,244.929993,241.520004,242.139999,227.501740,2759100
2017-03-21,243.309998,243.309998,232.789993,233.000000,218.914307,5660900
2017-03-22,231.220001,232.919998,229.160004,231.070007,217.100983,6291300
2017-03-23,230.750000,234.630005,229.949997,231.899994,217.880798,4770700
